Date,WL_target_2012640,WL_up_2012625,WL_down_2012653,Discharge_target,Rainfall_up_201202,Rainfall_target_201207,Rainfall_down_201211,WL_after_0.5h_target,WL_after_1h_target,WL_after_3h_target,WL_after_6h_target
2011-07-08@00:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@00:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@00:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@00:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@00:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@00:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@01:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@02:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@03:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@04:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@05:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@06:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@07:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:20,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:30,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:40,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@08:50,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@09:00,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
2011-07-08@09:10,52.84,78.94,33.84,28.01,0,0,0,52.84,52.84,52.84,52.84
